lang,field,filter,filter_value,mean,pstdev,number of packages
af,name,,,5.63,23.04,1013
af,summary,,,8.0,27.12,1013
af,description,,,0.1,3.14,1013
af,package stats,,,0,0.0,1013
af,name,type,desktop,0,0,0
af,summary,type,desktop,0,0,0
af,description,type,desktop,0,0,0
af,package stats,type,desktop,0,0,0
af_ZA,name,,,0,0.0,1013
af_ZA,summary,,,0.1,3.14,1013
af_ZA,description,,,0,0.0,1013
af_ZA,package stats,,,0,0.0,1013
af_ZA,name,type,desktop,0,0,0
af_ZA,summary,type,desktop,0,0,0
af_ZA,description,type,desktop,0,0,0
af_ZA,package stats,type,desktop,0,0,0
ak,name,,,0,0.0,1013
ak,summary,,,0.1,3.14,1013
ak,description,,,0,0.0,1013
ak,package stats,,,0,0.0,1013
ak,name,type,desktop,0,0,0
ak,summary,type,desktop,0,0,0
ak,description,type,desktop,0,0,0
ak,package stats,type,desktop,0,0,0
am,name,,,1.58,12.47,1013
am,summary,,,0.89,9.38,1013
am,description,,,0,0.0,1013
am,package stats,,,0,0.0,1013
am,name,type,desktop,0,0,0
am,summary,type,desktop,0,0,0
am,description,type,desktop,0,0,0
am,package stats,type,desktop,0,0,0
an,name,,,1.18,10.82,1013
an,summary,,,2.27,14.9,1013
an,description,,,0,0.0,1013
an,package stats,,,0,0.0,1013
an,name,type,desktop,0,0,0
an,summary,type,desktop,0,0,0
an,description,type,desktop,0,0,0
an,package stats,type,desktop,0,0,0
ar,name,,,13.72,34.41,1013
ar,summary,,,15.1,35.81,1013
ar,description,,,0.59,7.67,1013
ar,package stats,,,0,0.0,1013
ar,name,type,desktop,0,0,0
ar,summary,type,desktop,0,0,0
ar,description,type,desktop,0,0,0
ar,package stats,type,desktop,0,0,0
ara,name,,,0,0.0,1013
ara,summary,,,0.1,3.14,1013
ara,description,,,0,0.0,1013
ara,package stats,,,0,0.0,1013
ara,name,type,desktop,0,0,0
ara,summary,type,desktop,0,0,0
ara,description,type,desktop,0,0,0
ara,package stats,type,desktop,0,0,0
as,name,,,6.81,25.19,1013
as,summary,,,8.49,27.87,1013
as,description,,,0.99,9.89,1013
as,package stats,,,0,0.0,1013
as,name,type,desktop,0,0,0
as,summary,type,desktop,0,0,0
as,description,type,desktop,0,0,0
as,package stats,type,desktop,0,0,0
ast,name,,,5.23,22.27,1013
ast,summary,,,12.93,33.56,1013
ast,description,,,0,0.0,1013
ast,package stats,,,0,0.0,1013
ast,name,type,desktop,0,0,0
ast,summary,type,desktop,0,0,0
ast,description,type,desktop,0,0,0
ast,package stats,type,desktop,0,0,0
az,name,,,2.27,14.9,1013
az,summary,,,2.37,15.21,1013
az,description,,,0,0.0,1013
az,package stats,,,0,0.0,1013
az,name,type,desktop,0,0,0
az,summary,type,desktop,0,0,0
az,description,type,desktop,0,0,0
az,package stats,type,desktop,0,0,0
be,name,,,6.32,24.33,1013
be,summary,,,10.76,30.99,1013
be,description,,,0.59,7.67,1013
be,package stats,,,0,0.0,1013
be,name,type,desktop,0,0,0
be,summary,type,desktop,0,0,0
be,description,type,desktop,0,0,0
be,package stats,type,desktop,0,0,0
be@latin,name,,,2.96,16.95,1013
be@latin,summary,,,3.95,19.47,1013
be@latin,description,,,0,0.0,1013
be@latin,package stats,,,0,0.0,1013
be@latin,name,type,desktop,0,0,0
be@latin,summary,type,desktop,0,0,0
be@latin,description,type,desktop,0,0,0
be@latin,package stats,type,desktop,0,0,0
bg,name,,,9.97,29.96,1013
bg,summary,,,19.45,39.58,1013
bg,description,,,0.1,3.14,1013
bg,package stats,,,0,0.0,1013
bg,name,type,desktop,0,0,0
bg,summary,type,desktop,0,0,0
bg,description,type,desktop,0,0,0
bg,package stats,type,desktop,0,0,0
bg_BG,name,,,0.1,3.14,1013
bg_BG,summary,,,0.1,3.14,1013
bg_BG,description,,,0,0.0,1013
bg_BG,package stats,,,0,0.0,1013
bg_BG,name,type,desktop,0,0,0
bg_BG,summary,type,desktop,0,0,0
bg_BG,description,type,desktop,0,0,0
bg_BG,package stats,type,desktop,0,0,0
bho,name,,,0.1,3.14,1013
bho,summary,,,0.1,3.14,1013
bho,description,,,0,0.0,1013
bho,package stats,,,0,0.0,1013
bho,name,type,desktop,0,0,0
bho,summary,type,desktop,0,0,0
bho,description,type,desktop,0,0,0
bho,package stats,type,desktop,0,0,0
bn,name,,,7.31,26.02,1013
bn,summary,,,8.79,28.31,1013
bn,description,,,0,0.0,1013
bn,package stats,,,0,0.0,1013
bn,name,type,desktop,0,0,0
bn,summary,type,desktop,0,0,0
bn,description,type,desktop,0,0,0
bn,package stats,type,desktop,0,0,0
bn_BD,name,,,0.1,3.14,1013
bn_BD,summary,,,0.1,3.14,1013
bn_BD,description,,,0,0.0,1013
bn_BD,package stats,,,0,0.0,1013
bn_BD,name,type,desktop,0,0,0
bn_BD,summary,type,desktop,0,0,0
bn_BD,description,type,desktop,0,0,0
bn_BD,package stats,type,desktop,0,0,0
bn_IN,name,,,5.92,23.61,1013
bn_IN,summary,,,7.6,26.5,1013
bn_IN,description,,,0.1,3.14,1013
bn_IN,package stats,,,0,0.0,1013
bn_IN,name,type,desktop,0,0,0
bn_IN,summary,type,desktop,0,0,0
bn_IN,description,type,desktop,0,0,0
bn_IN,package stats,type,desktop,0,0,0
bo,name,,,0.1,3.14,1013
bo,summary,,,0.1,3.14,1013
bo,description,,,0,0.0,1013
bo,package stats,,,0,0.0,1013
bo,name,type,desktop,0,0,0
bo,summary,type,desktop,0,0,0
bo,description,type,desktop,0,0,0
bo,package stats,type,desktop,0,0,0
br,name,,,3.06,17.22,1013
br,summary,,,4.05,19.71,1013
br,description,,,0,0.0,1013
br,package stats,,,0,0.0,1013
br,name,type,desktop,0,0,0
br,summary,type,desktop,0,0,0
br,description,type,desktop,0,0,0
br,package stats,type,desktop,0,0,0
brx,name,,,0.1,3.14,1013
brx,summary,,,0.2,4.44,1013
brx,description,,,0.1,3.14,1013
brx,package stats,,,0,0.0,1013
brx,name,type,desktop,0,0,0
brx,summary,type,desktop,0,0,0
brx,description,type,desktop,0,0,0
brx,package stats,type,desktop,0,0,0
bs,name,,,3.36,18.01,1013
bs,summary,,,9.38,29.15,1013
bs,description,,,2.27,14.9,1013
bs,package stats,,,0,0.0,1013
bs,name,type,desktop,0,0,0
bs,summary,type,desktop,0,0,0
bs,description,type,desktop,0,0,0
bs,package stats,type,desktop,0,0,0
ca,name,,,11.06,31.36,1013
ca,summary,,,27.05,44.42,1013
ca,description,,,4.24,20.16,1013
ca,package stats,,,0,0.0,1013
ca,name,type,desktop,0,0,0
ca,summary,type,desktop,0,0,0
ca,description,type,desktop,0,0,0
ca,package stats,type,desktop,0,0,0
ca@valencia,name,,,6.22,24.15,1013
ca@valencia,summary,,,16.98,37.55,1013
