lang,field,filter,filter_value,mean,pstdev,number of packages
af,name,,,4.23,20.12,1490
af,summary,,,5.7,23.19,1490
af,description,,,0.2,4.48,1490
af,package stats,,,0.07,2.59,1490
af,name,type,desktop,5.29,22.38,1059
af,summary,type,desktop,8.03,27.17,1059
af,description,type,desktop,0.28,5.31,1059
af,package stats,type,desktop,0.09,3.07,1059
ak,name,,,0,0.0,1490
ak,summary,,,0.07,2.59,1490
ak,description,,,0,0.0,1490
ak,package stats,,,0,0.0,1490
ak,name,type,desktop,0,0.0,1059
ak,summary,type,desktop,0.09,3.07,1059
ak,description,type,desktop,0,0.0,1059
ak,package stats,type,desktop,0,0.0,1059
am,name,,,1.21,10.92,1490
am,summary,,,0.74,8.56,1490
am,description,,,0,0.0,1490
am,package stats,,,0,0.0,1490
am,name,type,desktop,1.7,12.93,1059
am,summary,type,desktop,1.04,10.14,1059
am,description,type,desktop,0,0.0,1059
am,package stats,type,desktop,0,0.0,1059
an,name,,,1.61,12.59,1490
an,summary,,,2.28,14.93,1490
an,description,,,0.47,6.84,1490
an,package stats,,,0.07,2.59,1490
an,name,type,desktop,1.61,12.57,1059
an,summary,type,desktop,2.55,15.76,1059
an,description,type,desktop,0.66,8.1,1059
an,package stats,type,desktop,0.09,3.07,1059
ar,name,,,10.74,30.96,1490
ar,summary,,,11.81,32.28,1490
ar,description,,,1.28,11.22,1490
ar,package stats,,,1.48,12.06,1490
ar,name,type,desktop,13.98,34.67,1059
ar,summary,type,desktop,15.86,36.53,1059
ar,description,type,desktop,1.79,13.27,1059
ar,package stats,type,desktop,2.08,14.26,1059
ara,name,,,0,0.0,1490
ara,summary,,,0.07,2.59,1490
ara,description,,,0,0.0,1490
ara,package stats,,,0,0.0,1490
ara,name,type,desktop,0,0.0,1059
ara,summary,type,desktop,0.09,3.07,1059
ara,description,type,desktop,0,0.0,1059
ara,package stats,type,desktop,0,0.0,1059
as,name,,,4.9,21.59,1490
as,summary,,,7.18,25.82,1490
as,description,,,2.89,16.74,1490
as,package stats,,,1.74,13.09,1490
as,name,type,desktop,5.95,23.65,1059
as,summary,type,desktop,9.07,28.71,1059
as,description,type,desktop,4.06,19.74,1059
as,package stats,type,desktop,2.27,14.88,1059
ast,name,,,3.96,19.5,1490
ast,summary,,,8.72,28.22,1490
ast,description,,,0,0.0,1490
ast,package stats,,,0.87,9.3,1490
ast,name,type,desktop,5.1,22.0,1059
ast,summary,type,desktop,12.28,32.82,1059
ast,description,type,desktop,0,0.0,1059
ast,package stats,type,desktop,1.23,11.01,1059
az,name,,,1.48,12.06,1490
az,summary,,,1.61,12.59,1490
az,description,,,0,0.0,1490
az,package stats,,,0.07,2.59,1490
az,name,type,desktop,2.08,14.26,1059
az,summary,type,desktop,2.27,14.88,1059
az,description,type,desktop,0,0.0,1059
az,package stats,type,desktop,0.09,3.07,1059
be,name,,,5.03,21.86,1490
be,summary,,,7.58,26.47,1490
be,description,,,1.74,13.09,1490
be,package stats,,,0.74,8.56,1490
be,name,type,desktop,6.42,24.51,1059
be,summary,type,desktop,10.67,30.87,1059
be,description,type,desktop,2.46,15.48,1059
be,package stats,type,desktop,1.04,10.14,1059
be@latin,name,,,2.01,14.05,1490
be@latin,summary,,,2.48,15.56,1490
