lang,field,filter,filter_value,mean,pstdev,number of packages
ab,name,,,0.13,3.67,1483
ab,summary,,,0.13,3.67,1483
ab,description,,,0,0.0,1483
ab,package stats,,,0,0.0,1483
ab,name,type,desktop,0.24,4.85,848
ab,summary,type,desktop,0.24,4.85,848
ab,description,type,desktop,0,0.0,848
ab,package stats,type,desktop,0,0.0,848
ach,name,,,0,0.0,1483
ach,summary,,,0.07,2.6,1483
ach,description,,,0,0.0,1483
ach,package stats,,,0.07,2.6,1483
ach,name,type,desktop,0,0.0,848
ach,summary,type,desktop,0.12,3.43,848
ach,description,type,desktop,0,0.0,848
ach,package stats,type,desktop,0.12,3.43,848
af,name,,,5.19,22.19,1483
af,summary,,,5.8,23.37,1483
af,description,,,0.27,5.19,1483
af,package stats,,,0.2,4.49,1483
af,name,type,desktop,7.67,26.6,848
af,summary,type,desktop,10.02,30.03,848
af,description,type,desktop,0.47,6.85,848
af,package stats,type,desktop,0.35,5.94,848
ak,name,,,0,0.0,1483
ak,summary,,,0.34,5.8,1483
ak,description,,,0,0.0,1483
ak,package stats,,,0.13,3.67,1483
ak,name,type,desktop,0,0.0,848
ak,summary,type,desktop,0.59,7.66,848
ak,description,type,desktop,0,0.0,848
ak,package stats,type,desktop,0.24,4.85,848
am,name,,,1.89,13.61,1483
am,summary,,,1.35,11.53,1483
am,description,,,0.27,5.19,1483
am,package stats,,,0.34,5.8,1483
am,name,type,desktop,3.3,17.87,848
am,summary,type,desktop,2.36,15.18,848
am,description,type,desktop,0.47,6.85,848
am,package stats,type,desktop,0.59,7.66,848
an,name,,,2.56,15.8,1483
an,summary,,,3.24,17.7,1483
an,description,,,1.89,13.61,1483
an,package stats,,,1.08,10.33,1483
an,name,type,desktop,3.54,18.47,848
an,summary,type,desktop,4.72,21.2,848
an,description,type,desktop,3.3,17.87,848
an,package stats,type,desktop,0.47,6.85,848
ar,name,,,14.36,35.07,1483
ar,summary,,,14.57,35.28,1483
ar,description,,,4.32,20.32,1483
ar,package stats,,,0.74,8.58,1483
ar,name,type,desktop,20.52,40.38,848
ar,summary,type,desktop,22.17,41.54,848
ar,description,type,desktop,7.55,26.42,848
ar,package stats,type,desktop,1.3,11.32,848
ar_DZ,name,,,0,0.0,1483
ar_DZ,summary,,,0.07,2.6,1483
ar_DZ,description,,,0.07,2.6,1483
ar_DZ,package stats,,,0,0.0,1483
ar_DZ,name,type,desktop,0,0.0,848
ar_DZ,summary,type,desktop,0.12,3.43,848
ar_DZ,description,type,desktop,0.12,3.43,848
ar_DZ,package stats,type,desktop,0,0.0,848
as,name,,,5.6,22.99,1483
as,summary,,,7.28,25.98,1483
as,description,,,3.24,17.7,1483
as,package stats,,,0.4,6.35,1483
as,name,type,desktop,8.25,27.52,848
as,summary,type,desktop,11.56,31.97,848
as,description,type,desktop,5.66,23.11,848
as,package stats,type,desktop,0.71,8.38,848
ast,name,,,4.59,20.92,1483
ast,summary,,,10.25,30.33,1483
ast,description,,,3.24,17.7,1483
ast,package stats,,,0.81,8.96,1483
ast,name,type,desktop,6.6,24.83,848
ast,summary,type,desktop,17.45,37.96,848
