lang,field,filter,filter_value,mean,pstdev,number of packages
ab,name,,,0.12,3.45,1683
ab,summary,,,0.06,2.44,1683
ab,description,,,0,0.0,1683
ab,package stats,,,0,0.0,1683
ab,name,type,desktop,0.21,4.6,945
ab,summary,type,desktop,0.11,3.25,945
ab,description,type,desktop,0,0.0,945
ab,package stats,type,desktop,0,0.0,945
ach,name,,,0,0.0,1683
ach,summary,,,0.06,2.44,1683
ach,description,,,0,0.0,1683
ach,package stats,,,0.06,2.44,1683
ach,name,type,desktop,0,0.0,945
ach,summary,type,desktop,0.11,3.25,945
ach,description,type,desktop,0,0.0,945
ach,package stats,type,desktop,0.11,3.25,945
af,name,,,6.36,24.4,1683
af,summary,,,5.7,23.19,1683
af,description,,,0.83,9.08,1683
af,package stats,,,0.42,6.44,1683
af,name,type,desktop,8.89,28.46,945
af,summary,type,desktop,9.52,29.35,945
af,description,type,desktop,1.48,12.08,945
af,package stats,type,desktop,0.74,8.57,945
af_ZA,name,,,0.12,3.45,1683
af_ZA,summary,,,0.12,3.45,1683
af_ZA,description,,,0,0.0,1683
af_ZA,package stats,,,0,0.0,1683
af_ZA,name,type,desktop,0.21,4.6,945
af_ZA,summary,type,desktop,0.21,4.6,945
af_ZA,description,type,desktop,0,0.0,945
af_ZA,package stats,type,desktop,0,0.0,945
ak,name,,,0.06,2.44,1683
ak,summary,,,0.24,4.87,1683
ak,description,,,0.06,2.44,1683
ak,package stats,,,0,0.0,1683
ak,name,type,desktop,0.11,3.25,945
ak,summary,type,desktop,0.42,6.49,945
ak,description,type,desktop,0.11,3.25,945
ak,package stats,type,desktop,0,0.0,945
am,name,,,1.78,13.23,1683
am,summary,,,1.25,11.1,1683
am,description,,,0.24,4.87,1683
am,package stats,,,0.18,4.22,1683
am,name,type,desktop,3.17,17.53,945
am,summary,type,desktop,2.22,14.74,945
am,description,type,desktop,0.42,6.49,945
am,package stats,type,desktop,0.32,5.63,945
am_ET,name,,,0.12,3.45,1683
am_ET,summary,,,0.12,3.45,1683
am_ET,description,,,0,0.0,1683
am_ET,package stats,,,0.06,2.44,1683
am_ET,name,type,desktop,0.21,4.6,945
am_ET,summary,type,desktop,0.21,4.6,945
am_ET,description,type,desktop,0,0.0,945
am_ET,package stats,type,desktop,0.11,3.25,945
an,name,,,2.14,14.47,1683
an,summary,,,2.79,16.48,1683
an,description,,,1.31,11.36,1683
an,package stats,,,0.83,9.08,1683
an,name,type,desktop,2.96,16.96,945
an,summary,type,desktop,4.13,19.89,945
an,description,type,desktop,2.33,15.08,945
an,package stats,type,desktop,0.21,4.6,945
ar,name,,,17.29,37.82,1683
ar,summary,,,16.76,37.35,1683
ar,description,,,4.87,21.53,1683
ar,package stats,,,0.83,9.08,1683
ar,name,type,desktop,20.11,40.08,945
ar,summary,type,desktop,21.27,40.92,945
ar,description,type,desktop,8.57,27.99,945
ar,package stats,type,desktop,1.48,12.08,945
ar_DZ,name,,,0,0.0,1683
ar_DZ,summary,,,0.06,2.44,1683
ar_DZ,description,,,0.06,2.44,1683
ar_DZ,package stats,,,0,0.0,1683
ar_DZ,name,type,desktop,0,0.0,945
ar_DZ,summary,type,desktop,0.11,3.25,945
ar_DZ,description,type,desktop,0.11,3.25,945
ar_DZ,package stats,type,desktop,0,0.0,945
as,name,,,4.99,21.78,1683
as,summary,,,6.48,24.61,1683
as,description,,,2.67,16.13,1683
as,package stats,,,0.36,5.96,1683
as,name,type,desktop,7.3,26.02,945
as,summary,type,desktop,10.16,30.21,945
as,description,type,desktop,4.66,21.07,945
as,package stats,type,desktop,0.63,7.94,945
ast,name,,,4.58,20.89,1683
ast,summary,,,6.95,25.43,1683
ast,description,,,1.49,12.1,1683
ast,package stats,,,0.89,9.4,1683
ast,name,type,desktop,6.35,24.38,945
ast,summary,type,desktop,11.96,32.45,945
ast,description,type,desktop,2.65,16.05,945
ast,package stats,type,desktop,1.59,12.5,945
az,name,,,1.72,13.01,1683
az,summary,,,1.72,13.01,1683
az,description,,,0.12,3.45,1683
az,package stats,,,0.18,4.22,1683
az,name,type,desktop,3.07,17.25,945
az,summary,type,desktop,3.07,17.25,945
az,description,type,desktop,0.21,4.6,945
az,package stats,type,desktop,0.32,5.63,945
be,name,,,6.89,25.33,1683
be,summary,,,8.5,27.88,1683
be,description,,,4.04,19.69,1683
be,package stats,,,2.32,15.05,1683
be,name,type,desktop,9.63,29.5,945
be,summary,type,desktop,13.33,33.99,945
be,description,type,desktop,7.2,25.84,945
be,package stats,type,desktop,2.65,16.05,945
be@latin,name,,,2.73,16.3,1683
be@latin,summary,,,2.14,14.47,1683
be@latin,description,,,0,0.0,1683
be@latin,package stats,,,0.12,3.45,1683
be@latin,name,type,desktop,2.43,15.41,945
be@latin,summary,type,desktop,2.65,16.05,945
be@latin,description,type,desktop,0,0.0,945
be@latin,package stats,type,desktop,0.21,4.6,945
bg,name,,,10.04,30.06,1683
bg,summary,,,14.8,35.51,1683
bg,description,,,4.81,21.4,1683
bg,package stats,,,2.85,16.65,1683
bg,name,type,desktop,13.12,33.76,945
bg,summary,type,desktop,21.9,41.36,945
bg,description,type,desktop,8.57,27.99,945
bg,package stats,type,desktop,3.49,18.36,945
bg_BG,name,,,0.12,3.45,1683
bg_BG,summary,,,0.12,3.45,1683
bg_BG,description,,,0,0.0,1683
bg_BG,package stats,,,0,0.0,1683
bg_BG,name,type,desktop,0.21,4.6,945
bg_BG,summary,type,desktop,0.21,4.6,945
bg_BG,description,type,desktop,0,0.0,945
bg_BG,package stats,type,desktop,0,0.0,945
bho,name,,,0.06,2.44,1683
bho,summary,,,0.06,2.44,1683
bho,description,,,0,0.0,1683
bho,package stats,,,0,0.0,1683
bho,name,type,desktop,0.11,3.25,945
bho,summary,type,desktop,0.11,3.25,945
bho,description,type,desktop,0,0.0,945
bho,package stats,type,desktop,0,0.0,945
bm,name,,,0.06,2.44,1683
bm,summary,,,0.06,2.44,1683
bm,description,,,0,0.0,1683
bm,package stats,,,0,0.0,1683
bm,name,type,desktop,0.11,3.25,945
bm,summary,type,desktop,0.11,3.25,945
bm,description,type,desktop,0,0.0,945
bm,package stats,type,desktop,0,0.0,945
bn,name,,,6.65,24.92,1683
bn,summary,,,5.82,23.42,1683
bn,description,,,0.12,3.45,1683
bn,package stats,,,0.18,4.22,1683
bn,name,type,desktop,9.42,29.21,945
bn,summary,type,desktop,10.05,30.07,945
bn,description,type,desktop,0.21,4.6,945
bn,package stats,type,desktop,0.32,5.63,945
bn_BD,name,,,0.12,3.45,1683
bn_BD,summary,,,0.12,3.45,1683
bn_BD,description,,,0.06,2.44,1683
bn_BD,package stats,,,0.06,2.44,1683
bn_BD,name,type,desktop,0.21,4.6,945
bn_BD,summary,type,desktop,0.21,4.6,945
bn_BD,description,type,desktop,0.11,3.25,945
bn_BD,package stats,type,desktop,0.11,3.25,945
bn_IN,name,,,5.23,22.26,1683
bn_IN,summary,,,4.93,21.65,1683
bn_IN,description,,,1.31,11.36,1683
bn_IN,package stats,,,0.18,4.22,1683
bn_IN,name,type,desktop,6.14,24.0,945
bn_IN,summary,type,desktop,7.51,26.36,945
bn_IN,description,type,desktop,2.33,15.08,945
bn_IN,package stats,type,desktop,0.32,5.63,945
bo,name,,,0.06,2.44,1683
bo,summary,,,0.06,2.44,1683
bo,description,,,0,0.0,1683
bo,package stats,,,0,0.0,1683
bo,name,type,desktop,0.11,3.25,945
bo,summary,type,desktop,0.11,3.25,945
bo,description,type,desktop,0,0.0,945
bo,package stats,type,desktop,0,0.0,945
br,name,,,2.97,16.98,1683
br,summary,,,2.85,16.65,1683
br,description,,,0.53,7.29,1683
br,package stats,,,0.24,4.87,1683
br,name,type,desktop,4.23,20.13,945
br,summary,type,desktop,4.97,21.74,945
br,description,type,desktop,0.95,9.71,945
br,package stats,type,desktop,0.42,6.49,945
brx,name,,,0.18,4.22,1683
brx,summary,,,0.18,4.22,1683
brx,description,,,0.06,2.44,1683
brx,package stats,,,0.06,2.44,1683
brx,name,type,desktop,0.32,5.63,945
brx,summary,type,desktop,0.21,4.6,945
brx,description,type,desktop,0,0.0,945
brx,package stats,type,desktop,0.11,3.25,945
bs,name,,,12.0,32.5,1683
bs,summary,,,17.59,38.07,1683
bs,description,,,8.97,28.58,1683
bs,package stats,,,2.44,15.42,1683
bs,name,type,desktop,11.75,32.2,945
bs,summary,type,desktop,21.9,41.36,945
bs,description,type,desktop,15.98,36.64,945
bs,package stats,type,desktop,3.07,17.25,945
ca,name,,,15.98,36.65,1683
ca,summary,,,32.44,46.82,1683
ca,description,,,17.11,37.66,1683
ca,package stats,,,13.61,34.29,1683
ca,name,type,desktop,13.23,33.88,945
ca,summary,type,desktop,40.11,49.01,945
ca,description,type,desktop,29.84,45.76,945
ca,package stats,type,desktop,22.65,41.85,945
ca-valencia,name,,,1.37,11.61,1683
ca-valencia,summary,,,9.92,29.9,1683
ca-valencia,description,,,8.79,28.32,1683
ca-valencia,package stats,,,0,0.0,1683
ca-valencia,name,type,desktop,1.06,10.23,945
ca-valencia,summary,type,desktop,14.81,35.52,945
ca-valencia,description,type,desktop,15.34,36.04,945
ca-valencia,package stats,type,desktop,0,0.0,945
ca@valencia,name,,,11.76,32.22,1683
ca@valencia,summary,,,19.01,39.24,1683
ca@valencia,description,,,4.58,20.89,1683
ca@valencia,package stats,,,9.09,28.75,1683
ca@valencia,name,type,desktop,9.63,29.5,945
ca@valencia,summary,type,desktop,22.22,41.57,945
ca@valencia,description,type,desktop,8.15,27.36,945
ca@valencia,package stats,type,desktop,14.92,35.63,945
ca_ES,name,,,0.06,2.44,1683
ca_ES,summary,,,0.12,3.45,1683
ca_ES,description,,,0,0.0,1683
ca_ES,package stats,,,0,0.0,1683
ca_ES,name,type,desktop,0.11,3.25,945
ca_ES,summary,type,desktop,0.21,4.6,945
ca_ES,description,type,desktop,0,0.0,945
ca_ES,package stats,type,desktop,0,0.0,945
cgg,name,,,0,0.0,1683
cgg,summary,,,0.06,2.44,1683
cgg,description,,,0,0.0,1683
cgg,package stats,,,0,0.0,1683
cgg,name,type,desktop,0,0.0,945
cgg,summary,type,desktop,0.11,3.25,945
cgg,description,type,desktop,0,0.0,945
cgg,package stats,type,desktop,0,0.0,945
ckb,name,,,0.3,5.44,1683
ckb,summary,,,0.3,5.44,1683
ckb,description,,,0.06,2.44,1683
ckb,package stats,,,0,0.0,1683
ckb,name,type,desktop,0.53,7.25,945
ckb,summary,type,desktop,0.53,7.25,945
ckb,description,type,desktop,0.11,3.25,945
ckb,package stats,type,desktop,0,0.0,945
cmn,name,,,0.36,5.96,1683
cmn,summary,,,0.77,8.75,1683
cmn,description,,,0,0.0,1683
cmn,package stats,,,0.06,2.44,1683
cmn,name,type,desktop,0.63,7.94,945
cmn,summary,type,desktop,1.38,11.65,945
cmn,description,type,desktop,0,0.0,945
cmn,package stats,type,desktop,0.11,3.25,945
crh,name,,,0.89,9.4,1683
crh,summary,,,1.19,10.84,1683
crh,description,,,0,0.0,1683
crh,package stats,,,0.12,3.45,1683
