lang,field,filter,filter_value,mean,pstdev,number of packages
ab,name,,,0.12,3.53,1604
ab,summary,,,0.12,3.53,1604
ab,description,,,0,0.0,1604
ab,package stats,,,0,0.0,1604
ab,name,type,desktop,0.23,4.75,886
ab,summary,type,desktop,0.23,4.75,886
ab,description,type,desktop,0,0.0,886
ab,package stats,type,desktop,0,0.0,886
ach,name,,,0,0.0,1604
ach,summary,,,0.06,2.5,1604
ach,description,,,0,0.0,1604
ach,package stats,,,0.06,2.5,1604
ach,name,type,desktop,0,0.0,886
ach,summary,type,desktop,0.11,3.36,886
ach,description,type,desktop,0,0.0,886
ach,package stats,type,desktop,0.11,3.36,886
af,name,,,5.99,23.72,1604
af,summary,,,6.05,23.84,1604
af,description,,,0.75,8.62,1604
af,package stats,,,0.31,5.57,1604
af,name,type,desktop,8.35,27.67,886
af,summary,type,desktop,10.27,30.36,886
af,description,type,desktop,1.35,11.56,886
af,package stats,type,desktop,0.56,7.49,886
af_ZA,name,,,0.06,2.5,1604
af_ZA,summary,,,0.06,2.5,1604
af_ZA,description,,,0,0.0,1604
af_ZA,package stats,,,0,0.0,1604
af_ZA,name,type,desktop,0.11,3.36,886
af_ZA,summary,type,desktop,0.11,3.36,886
af_ZA,description,type,desktop,0,0.0,886
af_ZA,package stats,type,desktop,0,0.0,886
ak,name,,,0.06,2.5,1604
ak,summary,,,0.25,4.99,1604
ak,description,,,0.06,2.5,1604
ak,package stats,,,0.06,2.5,1604
ak,name,type,desktop,0.11,3.36,886
ak,summary,type,desktop,0.45,6.7,886
ak,description,type,desktop,0.11,3.36,886
ak,package stats,type,desktop,0.11,3.36,886
am,name,,,1.81,13.32,1604
am,summary,,,1.25,11.1,1604
am,description,,,0.25,4.99,1604
am,package stats,,,0.12,3.53,1604
am,name,type,desktop,3.27,17.79,886
am,summary,type,desktop,2.26,14.85,886
am,description,type,desktop,0.45,6.7,886
am,package stats,type,desktop,0.23,4.75,886
an,name,,,2.31,15.01,1604
an,summary,,,2.99,17.04,1604
an,description,,,1.62,12.63,1604
an,package stats,,,0.94,9.63,1604
an,name,type,desktop,3.27,17.79,886
an,summary,type,desktop,4.51,20.76,886
an,description,type,desktop,2.93,16.88,886
an,package stats,type,desktop,0.34,5.81,886
ar,name,,,16.58,37.19,1604
ar,summary,,,17.02,37.58,1604
ar,description,,,4.36,20.43,1604
ar,package stats,,,0.62,7.87,1604
ar,name,type,desktop,19.98,39.98,886
ar,summary,type,desktop,21.67,41.2,886
ar,description,type,desktop,7.9,26.97,886
ar,package stats,type,desktop,1.13,10.56,886
ar_DZ,name,,,0,0.0,1604
ar_DZ,summary,,,0.06,2.5,1604
ar_DZ,description,,,0.06,2.5,1604
ar_DZ,package stats,,,0,0.0,1604
ar_DZ,name,type,desktop,0,0.0,886
ar_DZ,summary,type,desktop,0.11,3.36,886
ar_DZ,description,type,desktop,0.11,3.36,886
ar_DZ,package stats,type,desktop,0,0.0,886
as,name,,,5.11,22.02,1604
as,summary,,,6.67,24.95,1604
