project,type,url,name,summary,description,package stats
gnome-shell-extension-auto-move-windows,shell-extension,http://git.gnome.org/gnome-shell-extensions,0,0,0,0
avogadro,desktop,http://avogadro.cc/wiki/Main_Page,0,0,0,0
gnome-shell-extension-background-logo,shell-extension,https://git.fedorahosted.org/git/background-logo-extension.git,0,0,0,0
baekmuk-ttf-batang-fonts,font,http://kldp.net/projects/baekmuk/,0,0,0,0
ballerburg,desktop,http://baller.tuxfamily.org/,0,0,0,0
ballz,desktop,http://code.google.com/p/db-tins07/,0,0,0,0
balsa,desktop,http://pawsa.fedorapeople.org/balsa/,0,0,0,0
banshee,desktop,http://banshee.fm/,0,0,0,0
barrage,desktop,http://lgames.sourceforge.net/index.php?project=Barrage,0,0,0,0
berusky,desktop,http://www.anakreon.cz/?q=node/1,0,0,0,0
berusky2,desktop,http://www.anakreon.cz/?q=node/2,0,0,0,0
beteckna-fonts-common,font,http://gnu.ethz.ch/linuks.mine.nu/beteckna/,0,0,0,0
bijiben,desktop,https://wiki.gnome.org/Apps/Bijiben,0,0,0,0
billiards,desktop,http://www.nongnu.org/billiards/,0,0,0,0
biloba,desktop,http://biloba.sourceforge.net/,0,0,0,0
linux-libertine-biolinum-fonts,font,http://linuxlibertine.sf.net,0,0,0,0
bitstream-vera-fonts-common,font,http://www.gnome.org/fonts/,0,0,0,0
blender,desktop,http://www.blender.org/,0,0,0,0
blivet-gui,desktop,https://github.com/rhinstaller/blivet-gui,0,0,0,0
blobby,desktop,http://blobby.sourceforge.net/,0,0,0,0
blobwars,desktop,http://www.parallelrealities.co.uk/p/blob-wars-metal-blob-solid.html,0,0,0,0
bluefish-shared-data,desktop,http://bluefish.openoffice.nl/,0,0,0,0
ibus-bogo,inputmethod,http://github.com/BoGoEngine/ibus-bogo-python,0,0,0,0
bpg-algeti-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-chveulebrivi-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-classic-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-courier-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-courier-s-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-dedaena-block-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-dejavu-sans-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-elite-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-excelsior-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-glaho-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-gorda-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-ingiri-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-irubaqidze-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-mikhail-stephan-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-mrgvlovani-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-nateli-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-nino-medium-cond-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-sans-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-serif-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-ucnobi-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpython,desktop,http://www.bpython-interpreter.org/,0,0,0,0
brasero,desktop,https://projects.gnome.org/brasero/,0,0,0,0
btanks,desktop,http://btanks.sourceforge.net/,0,0,0,0
budgie,desktop,http://ikeydoherty.github.io/budgie/,0,0,0,0
bustle,desktop,http://willthompson.co.uk/bustle/,0,0,0,0
bzflag,desktop,http://bzflag.org,0,0,0,0
dconf-editor,desktop,https://wiki.gnome.org/Projects/dconf,0,0,0,0
caja,desktop,http://www.mate-desktop.org,0,0,0,0
gnome-shell-extension-calc,shell-extension,https://github.com/eonpatapon/gnome-shell-extension-calc,0,0,0,0
calibre,desktop,http://calibre-ebook.com,0,0,0,0
calibre,desktop,http://calibre-ebook.com,0,0,0,0
calibre,desktop,http://calibre-ebook.com/,0,0,0,0
california,desktop,https://wiki.gnome.org/Apps/California,0,0,0,0
mrpt-camera-calibration,desktop,http://www.mrpt.org/,0,0,0,0
camorama,desktop,https://github.com/alessio/camorama/,0,0,0,0
campivisivi-titillium-fonts,font,http://www.campivisivi.net/titillium/,0,0,0,0
campivisivi-titillium-fonts,font,http://www.campivisivi.net/titillium/,0,0,0,0
ibus-cangjie-engine-cangjie,inputmethod,http://cangjians.github.io/ibus-cangjie,0,0,0,0
cardpeek,desktop,http://pannetrat.com/Cardpeek/,0,0,0,0
catfish,desktop,https://launchpad.net/catfish-search/,0,0,0,0
cave9,desktop,http://code.google.com/p/cave9,0,0,0,0
cbrpager,desktop,http://www.jcoppens.com/soft/cbrpager/index.en.php,0,0,0,0
ccdciel,desktop,http://www.ap-i.net/ccdciel/,0,0,0,0
ccgo,desktop,http://ccdw.org/~cjj/prog/ccgo/,0,0,0,0
ccsm,desktop,https://github.com/compiz-reloaded/ccsm,0,0,0,0
cdogs-sdl,desktop,http://cxong.github.io/cdogs-sdl/,0,0,0,0
celestia,desktop,http://www.shatters.net/celestia/,0,0,0,0
cf-bonveno-fonts,font,http://home.comcast.net/~crudfactory/cf3/bonveno.xhtml,0,0,0,0
cf-sorts-mill-goudy-fonts,font,http://crudfactory.com/,0,0,0,0
cherrytree,desktop,http://www.giuspen.com/cherrytree,0,0,0,0
ibus-chewing,inputmethod,https://code.google.com/p/ibus/wiki/ChewingUserGuide,0,0,0,0
childsplay,desktop,http://www.schoolsplay.org/,0,0,0,0
chinese-calendar,desktop,https://launchpad.net/chinese-calendar,0,0,0,0
chisholm-letterslaughing-fonts,font,http://glyphobet.net/fonts/free/?font=lleqcdd,0,0,0,0
chisholm-to-be-continued-fonts,font,http://www.theory.org/~matt/fonts/free/?font=2bc,0,0,0,0
chocolate-doom,desktop,http://chocolate-doom.org/,0,0,0,0
chromium,desktop,https://www.chromium.org/Home,0,0,0,0
clementine,desktop,https://www.clementine-player.org,0,0,0,0
clipit,desktop,http://clipit.rspwn.com/,0,0,0,0
cmst,desktop,https://github.com/andrew-bibb/cmst,0,0,0,0
cockpit,desktop,http://cockpit-project.org/,0,0,0,0
codeblocks-contrib,addon,http://www.codeblocks.org/cbplugins,0,0,0,0
codeblocks,desktop,http://www.codeblocks.org/,0,0,0,0
colossus,desktop,http://colossus.sourceforge.net/,0,0,0,0
colorhug-client-backlight,desktop,http://www.hughski.com/,0,0,0,0
colorhug-client-ccmx,desktop,http://www.hughski.com/,0,0,0,0
colorhug-client-refresh,desktop,http://www.hughski.com/,0,0,0,0
colorhug-client-flash,desktop,http://www.hughski.com/,0,0,0,0
conakry-fonts,font,http://www.evertype.com/fonts/nko/,0,0,0,0
