lang,field,filter,filter_value,mean,pstdev,number of packages
ab,name,,,0.14,3.75,1418
ab,summary,,,0.14,3.75,1418
ab,description,,,0,0.0,1418
ab,package stats,,,0,0.0,1418
ab,name,type,desktop,0.24,4.89,835
ab,summary,type,desktop,0.24,4.89,835
ab,description,type,desktop,0,0.0,835
ab,package stats,type,desktop,0,0.0,835
ach,name,,,0,0.0,1418
ach,summary,,,0.07,2.65,1418
ach,description,,,0,0.0,1418
ach,package stats,,,0.07,2.65,1418
ach,name,type,desktop,0,0.0,835
ach,summary,type,desktop,0.12,3.46,835
ach,description,type,desktop,0,0.0,835
ach,package stats,type,desktop,0.12,3.46,835
af,name,,,5.43,22.66,1418
af,summary,,,6.06,23.87,1418
af,description,,,0.35,5.93,1418
af,package stats,,,0.21,4.59,1418
af,name,type,desktop,8.26,27.53,835
af,summary,type,desktop,10.18,30.24,835
af,description,type,desktop,0.6,7.72,835
af,package stats,type,desktop,0.36,5.98,835
ak,name,,,0,0.0,1418
ak,summary,,,0.35,5.93,1418
ak,description,,,0,0.0,1418
ak,package stats,,,0.14,3.75,1418
ak,name,type,desktop,0,0.0,835
ak,summary,type,desktop,0.6,7.72,835
ak,description,type,desktop,0,0.0,835
ak,package stats,type,desktop,0.24,4.89,835
am,name,,,1.97,13.91,1418
am,summary,,,1.41,11.79,1418
am,description,,,0.28,5.3,1418
am,package stats,,,0.35,5.93,1418
am,name,type,desktop,3.35,18.0,835
am,summary,type,desktop,2.4,15.29,835
am,description,type,desktop,0.48,6.9,835
am,package stats,type,desktop,0.6,7.72,835
an,name,,,2.61,15.94,1418
an,summary,,,3.31,17.9,1418
an,description,,,2.12,14.39,1418
an,package stats,,,1.13,10.56,1418
an,name,type,desktop,3.59,18.61,835
an,summary,type,desktop,4.79,21.36,835
an,description,type,desktop,3.59,18.61,835
an,package stats,type,desktop,0.48,6.9,835
ar,name,,,13.96,34.66,1418
ar,summary,,,14.32,35.02,1418
ar,description,,,4.3,20.29,1418
ar,package stats,,,0.56,7.49,1418
ar,name,type,desktop,20.72,40.53,835
ar,summary,type,desktop,22.4,41.69,835
ar,description,type,desktop,7.31,26.02,835
ar,package stats,type,desktop,0.96,9.74,835
ar_DZ,name,,,0,0.0,1418
ar_DZ,summary,,,0.07,2.65,1418
ar_DZ,description,,,0.07,2.65,1418
ar_DZ,package stats,,,0,0.0,1418
ar_DZ,name,type,desktop,0,0.0,835
ar_DZ,summary,type,desktop,0.12,3.46,835
ar_DZ,description,type,desktop,0.12,3.46,835
ar_DZ,package stats,type,desktop,0,0.0,835
as,name,,,5.99,23.74,1418
as,summary,,,7.69,26.64,1418
as,description,,,3.46,18.27,1418
as,package stats,,,0.42,6.49,1418
as,name,type,desktop,8.74,28.25,835
as,summary,type,desktop,11.98,32.47,835
as,description,type,desktop,5.87,23.5,835
as,package stats,type,desktop,0.72,8.45,835
ast,name,,,5.08,21.95,1418
ast,summary,,,10.65,30.85,1418
ast,description,,,3.6,18.62,1418
ast,package stats,,,0.63,7.94,1418
ast,name,type,desktop,7.19,25.82,835
ast,summary,type,desktop,17.6,38.09,835
ast,description,type,desktop,6.11,23.95,835
ast,package stats,type,desktop,1.08,10.33,835
az,name,,,1.97,13.91,1418
az,summary,,,2.05,14.15,1418
az,description,,,0.07,2.65,1418
az,package stats,,,0.42,6.49,1418
az,name,type,desktop,3.35,18.0,835
az,summary,type,desktop,3.47,18.31,835
az,description,type,desktop,0.12,3.46,835
az,package stats,type,desktop,0.72,8.45,835
be,name,,,6.06,23.87,1418
be,summary,,,8.11,27.3,1418
be,description,,,2.75,16.35,1418
be,package stats,,,0.78,8.77,1418
be,name,type,desktop,9.46,29.27,835
be,summary,type,desktop,13.77,34.46,835
be,description,type,desktop,4.67,21.1,835
be,package stats,type,desktop,1.32,11.4,835
be@latin,name,,,2.26,14.85,1418
be@latin,summary,,,2.12,14.39,1418
be@latin,description,,,0,0.0,1418
be@latin,package stats,,,0.14,3.75,1418
be@latin,name,type,desktop,3.35,18.0,835
be@latin,summary,type,desktop,3.59,18.61,835
be@latin,description,type,desktop,0,0.0,835
be@latin,package stats,type,desktop,0.24,4.89,835
bg,name,,,10.08,30.11,1418
bg,summary,,,16.22,36.86,1418
bg,description,,,5.92,23.61,1418
bg,package stats,,,3.1,17.34,1418
bg,name,type,desktop,15.21,35.91,835
bg,summary,type,desktop,25.75,43.72,835
bg,description,type,desktop,10.06,30.08,835
bg,package stats,type,desktop,5.03,21.86,835
bg_BG,name,,,0.14,3.75,1418
bg_BG,summary,,,0.14,3.75,1418
bg_BG,description,,,0,0.0,1418
bg_BG,package stats,,,0,0.0,1418
bg_BG,name,type,desktop,0.24,4.89,835
bg_BG,summary,type,desktop,0.24,4.89,835
bg_BG,description,type,desktop,0,0.0,835
bg_BG,package stats,type,desktop,0,0.0,835
bho,name,,,0.07,2.65,1418
bho,summary,,,0.07,2.65,1418
bho,description,,,0,0.0,1418
bho,package stats,,,0,0.0,1418
bho,name,type,desktop,0.12,3.46,835
bho,summary,type,desktop,0.12,3.46,835
bho,description,type,desktop,0,0.0,835
bho,package stats,type,desktop,0,0.0,835
bm,name,,,0.07,2.65,1418
bm,summary,,,0.07,2.65,1418
bm,description,,,0,0.0,1418
bm,package stats,,,0,0.0,1418
bm,name,type,desktop,0.12,3.46,835
bm,summary,type,desktop,0.12,3.46,835
bm,description,type,desktop,0,0.0,835
bm,package stats,type,desktop,0,0.0,835
bn,name,,,5.78,23.34,1418
bn,summary,,,6.91,25.36,1418
bn,description,,,0.07,2.65,1418
bn,package stats,,,0.28,5.3,1418
bn,name,type,desktop,9.22,28.93,835
bn,summary,type,desktop,11.74,32.19,835
bn,description,type,desktop,0.12,3.46,835
bn,package stats,type,desktop,0.48,6.9,835
bn_BD,name,,,0.14,3.75,1418
bn_BD,summary,,,0.14,3.75,1418
bn_BD,description,,,0.07,2.65,1418
bn_BD,package stats,,,0.07,2.65,1418
bn_BD,name,type,desktop,0.24,4.89,835
bn_BD,summary,type,desktop,0.24,4.89,835
bn_BD,description,type,desktop,0.12,3.46,835
bn_BD,package stats,type,desktop,0.12,3.46,835
bn_IN,name,,,5.43,22.66,1418
bn_IN,summary,,,5.85,23.47,1418
bn_IN,description,,,1.69,12.9,1418
bn_IN,package stats,,,0.28,5.3,1418
bn_IN,name,type,desktop,7.43,26.22,835
bn_IN,summary,type,desktop,8.86,28.42,835
bn_IN,description,type,desktop,2.87,16.71,835
bn_IN,package stats,type,desktop,0.48,6.9,835
bo,name,,,0.14,3.75,1418
bo,summary,,,0.14,3.75,1418
bo,description,,,0,0.0,1418
bo,package stats,,,0,0.0,1418
bo,name,type,desktop,0.24,4.89,835
bo,summary,type,desktop,0.24,4.89,835
bo,description,type,desktop,0,0.0,835
bo,package stats,type,desktop,0,0.0,835
br,name,,,3.17,17.53,1418
br,summary,,,3.31,17.9,1418
br,description,,,0.63,7.94,1418
br,package stats,,,0.14,3.75,1418
br,name,type,desktop,4.79,21.36,835
br,summary,type,desktop,5.51,22.82,835
br,description,type,desktop,1.08,10.33,835
br,package stats,type,desktop,0.24,4.89,835
brx,name,,,0.14,3.75,1418
brx,summary,,,0.21,4.59,1418
brx,description,,,0.07,2.65,1418
brx,package stats,,,0,0.0,1418
brx,name,type,desktop,0.24,4.89,835
brx,summary,type,desktop,0.36,5.98,835
brx,description,type,desktop,0.12,3.46,835
brx,package stats,type,desktop,0,0.0,835
bs,name,,,9.03,28.66,1418
bs,summary,,,16.36,36.99,1418
bs,description,,,10.16,30.21,1418
bs,package stats,,,2.19,14.62,1418
bs,name,type,desktop,11.86,32.33,835
bs,summary,type,desktop,24.19,42.82,835
bs,description,type,desktop,17.25,37.78,835
bs,package stats,type,desktop,2.28,14.91,835
ca,name,,,11.28,31.64,1418
ca,summary,,,25.18,43.4,1418
ca,description,,,14.6,35.31,1418
ca,package stats,,,5.71,23.21,1418
ca,name,type,desktop,14.97,35.68,835
ca,summary,type,desktop,38.68,48.7,835
ca,description,type,desktop,24.67,43.11,835
ca,package stats,type,desktop,9.46,29.27,835
ca@valencia,name,,,8.04,27.19,1418
ca@valencia,summary,,,14.25,34.95,1418
ca@valencia,description,,,5.01,21.81,1418
ca@valencia,package stats,,,1.69,12.9,1418
ca@valencia,name,type,desktop,10.42,30.55,835
ca@valencia,summary,type,desktop,21.56,41.12,835
ca@valencia,description,type,desktop,8.5,27.89,835
ca@valencia,package stats,type,desktop,2.87,16.71,835
ca_ES,name,,,0.07,2.65,1418
ca_ES,summary,,,0.14,3.75,1418
ca_ES,description,,,0,0.0,1418
ca_ES,package stats,,,0,0.0,1418
ca_ES,name,type,desktop,0.12,3.46,835
ca_ES,summary,type,desktop,0.24,4.89,835
ca_ES,description,type,desktop,0,0.0,835
ca_ES,package stats,type,desktop,0,0.0,835
ca_valencia,name,,,0.21,4.59,1418
ca_valencia,summary,,,5.36,22.52,1418
ca_valencia,description,,,5.92,23.61,1418
ca_valencia,package stats,,,0,0.0,1418
ca_valencia,name,type,desktop,0.36,5.98,835
ca_valencia,summary,type,desktop,9.1,28.76,835
ca_valencia,description,type,desktop,10.06,30.08,835
ca_valencia,package stats,type,desktop,0,0.0,835
cgg,name,,,0,0.0,1418
cgg,summary,,,0.07,2.65,1418
cgg,description,,,0,0.0,1418
cgg,package stats,,,0,0.0,1418
cgg,name,type,desktop,0,0.0,835
cgg,summary,type,desktop,0.12,3.46,835
cgg,description,type,desktop,0,0.0,835
cgg,package stats,type,desktop,0,0.0,835
ckb,name,,,0.28,5.3,1418
ckb,summary,,,0.28,5.3,1418
ckb,description,,,0,0.0,1418
ckb,package stats,,,0,0.0,1418
ckb,name,type,desktop,0.48,6.9,835
ckb,summary,type,desktop,0.48,6.9,835
ckb,description,type,desktop,0,0.0,835
ckb,package stats,type,desktop,0,0.0,835
cmn,name,,,0.42,6.49,1418
