project,type,url,name,summary,description,package stats
avogadro2,desktop,http://www.openchemistry.org/projects/avogadro2/,0,0,0,0
gnome-shell-extension-background-logo,shell-extension,https://pagure.io/background-logo-extension,0,0,0,0
baekmuk-ttf-batang-fonts,font,http://kldp.net/projects/baekmuk/,0,0,0,0
ballbuster,desktop,https://admin.fedoraproject.org/pkgdb/package/rpms/ballbuster/,0,0,0,0
ballerburg,desktop,http://baller.tuxfamily.org/,0,0,0,0
ballz,desktop,https://gitlab.com/ballz,0,0,0,0
balsa,desktop,http://pawsa.fedorapeople.org/balsa/,0,0,0,0
banshee,desktop,http://banshee.fm/,0,0,0,0
barrage,desktop,http://lgames.sourceforge.net/index.php?project=Barrage,0,0,0,0
berusky,desktop,http://www.anakreon.cz/?q=node/1,0,0,0,0
berusky2,desktop,http://www.anakreon.cz/?q=node/2,0,0,0,0
beteckna-fonts-common,font,http://gnu.ethz.ch/linuks.mine.nu/beteckna/,0,0,0,0
biloba,desktop,http://biloba.sourceforge.net/,0,0,0,0
linux-libertine-biolinum-fonts,font,http://linuxlibertine.sf.net,0,0,0,0.01
bitstream-vera-fonts-common,font,http://www.gnome.org/fonts/,0,0,0,0
blender-luxcorerender,addon,https://luxcorerender.org/,0,0,0,0
blender,desktop,http://www.blender.org/,0,0,0,0
blivet-gui,desktop,https://github.com/storaged-project/blivet-gui,0,0,0,0
blobby,desktop,http://blobby.sourceforge.net/,0,0,0,0
blobwars,desktop,http://www.parallelrealities.co.uk/p/blob-wars-metal-blob-solid.html,0,0,0,0
bluefish-shared-data,desktop,http://bluefish.openoffice.nl/,0,0,0,0
ibus-bogo,inputmethod,http://github.com/BoGoEngine/ibus-bogo-python,0,0,0,0
bolzplatz2006,desktop,http://www.bolzplatz2006.de/en/,0,0,0,0
boswars,desktop,http://www.boswars.org/,0,0,0,0
bpg-algeti-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-chveulebrivi-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-classic-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-courier-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-courier-s-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-dedaena-block-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-dejavu-sans-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-elite-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-excelsior-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-glaho-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-gorda-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-ingiri-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-irubaqidze-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
