lang,field,filter,filter_value,mean,pstdev,number of packages
gl_ES,package stats,type,desktop,0,0.0,924
pa_IN,name,,,0,0.0,1603
pa_IN,summary,,,0.31,5.58,1603
pa_IN,description,,,0,0.0,1603
pa_IN,package stats,,,0.06,2.5,1603
pa_IN,name,type,desktop,0,0.0,924
pa_IN,summary,type,desktop,0.54,7.34,924
pa_IN,description,type,desktop,0,0.0,924
pa_IN,package stats,type,desktop,0.11,3.29,924
cs-CZ,name,,,0,0.0,1603
cs-CZ,summary,,,0.06,2.5,1603
cs-CZ,description,,,0,0.0,1603
cs-CZ,package stats,,,0,0.0,1603
cs-CZ,name,type,desktop,0,0.0,924
cs-CZ,summary,type,desktop,0,0.0,924
cs-CZ,description,type,desktop,0,0.0,924
cs-CZ,package stats,type,desktop,0,0.0,924
cmn,name,,,0.37,6.11,1603
cmn,summary,,,0.81,8.97,1603
cmn,description,,,0,0.0,1603
cmn,package stats,,,0.06,2.5,1603
cmn,name,type,desktop,0.65,8.03,924
cmn,summary,type,desktop,1.41,11.78,924
cmn,description,type,desktop,0,0.0,924
cmn,package stats,type,desktop,0.11,3.29,924
es_PE,name,,,0.06,2.5,1603
es_PE,summary,,,0.06,2.5,1603
es_PE,description,,,0,0.0,1603
es_PE,package stats,,,0,0.0,1603
es_PE,name,type,desktop,0.11,3.29,924
es_PE,summary,type,desktop,0.11,3.29,924
es_PE,description,type,desktop,0,0.0,924
es_PE,package stats,type,desktop,0,0.0,924
mni,name,,,0.19,4.32,1603
mni,summary,,,0.25,4.99,1603
mni,description,,,0.06,2.5,1603
mni,package stats,,,0,0.0,1603
mni,name,type,desktop,0.32,5.69,924
mni,summary,type,desktop,0.32,5.69,924
mni,description,type,desktop,0,0.0,924
mni,package stats,type,desktop,0,0.0,924
sd@deva,name,,,0.06,2.5,1603
sd@deva,summary,,,0.06,2.5,1603
sd@deva,description,,,0,0.0,1603
sd@deva,package stats,,,0,0.0,1603
sd@deva,name,type,desktop,0.11,3.29,924
sd@deva,summary,type,desktop,0.11,3.29,924
sd@deva,description,type,desktop,0,0.0,924
sd@deva,package stats,type,desktop,0,0.0,924
ru_RU,name,,,0.06,2.5,1603
ru_RU,summary,,,0.12,3.53,1603
ru_RU,description,,,0.06,2.5,1603
ru_RU,package stats,,,0.19,4.32,1603
ru_RU,name,type,desktop,0.11,3.29,924
ru_RU,summary,type,desktop,0.22,4.65,924
ru_RU,description,type,desktop,0.11,3.29,924
ru_RU,package stats,type,desktop,0.32,5.69,924
xh,name,,,2.62,15.97,1603
xh,summary,,,1.68,12.87,1603
xh,description,,,0,0.0,1603
xh,package stats,,,0.12,3.53,1603
xh,name,type,desktop,4.44,20.59,924
xh,summary,type,desktop,2.92,16.84,924
xh,description,type,desktop,0,0.0,924
xh,package stats,type,desktop,0.22,4.65,924
uz-latn,name,,,0,0.0,1603
uz-latn,summary,,,0.06,2.5,1603
uz-latn,description,,,0.06,2.5,1603
uz-latn,package stats,,,0,0.0,1603
uz-latn,name,type,desktop,0,0.0,924
uz-latn,summary,type,desktop,0.11,3.29,924
uz-latn,description,type,desktop,0.11,3.29,924
uz-latn,package stats,type,desktop,0,0.0,924
yo,name,,,0,0.0,1603
yo,summary,,,0.06,2.5,1603
yo,description,,,0,0.0,1603
yo,package stats,,,0,0.0,1603
yo,name,type,desktop,0,0.0,924
yo,summary,type,desktop,0.11,3.29,924
yo,description,type,desktop,0,0.0,924
yo,package stats,type,desktop,0,0.0,924
pt,name,,,15.35,36.04,1603
pt,summary,,,31.82,46.58,1603
pt,description,,,17.59,38.08,1603
pt,package stats,,,10.92,31.19,1603
pt,name,type,desktop,13.42,34.09,924
pt,summary,type,desktop,40.15,49.02,924
pt,description,type,desktop,30.19,45.91,924
pt,package stats,type,desktop,18.72,39.01,924
dz,name,,,4.12,19.87,1603
dz,summary,,,3.87,19.28,1603
dz,description,,,0,0.0,1603
dz,package stats,,,0.12,3.53,1603
dz,name,type,desktop,6.6,24.83,924
dz,summary,type,desktop,6.6,24.83,924
dz,description,type,desktop,0,0.0,924
dz,package stats,type,desktop,0.22,4.65,924
id_ID,name,,,0,0.0,1603
id_ID,summary,,,0.19,4.32,1603
id_ID,description,,,0.06,2.5,1603
id_ID,package stats,,,0,0.0,1603
id_ID,name,type,desktop,0,0.0,924
id_ID,summary,type,desktop,0.32,5.69,924
id_ID,description,type,desktop,0.11,3.29,924
id_ID,package stats,type,desktop,0,0.0,924
fy,name,,,1.19,10.82,1603
fy,summary,,,1.25,11.1,1603
fy,description,,,0,0.0,1603
fy,package stats,,,0,0.0,1603
fy,name,type,desktop,0.32,5.69,924
fy,summary,type,desktop,0.76,8.67,924
fy,description,type,desktop,0,0.0,924
fy,package stats,type,desktop,0,0.0,924
el_GR,name,,,0.06,2.5,1603
el_GR,summary,,,0.12,3.53,1603
el_GR,description,,,0.06,2.5,1603
el_GR,package stats,,,0,0.0,1603
el_GR,name,type,desktop,0.11,3.29,924
el_GR,summary,type,desktop,0.22,4.65,924
el_GR,description,type,desktop,0.11,3.29,924
el_GR,package stats,type,desktop,0,0.0,924
fi_FI,name,,,0.12,3.53,1603
fi_FI,summary,,,0.19,4.32,1603
fi_FI,description,,,0,0.0,1603
fi_FI,package stats,,,0,0.0,1603
fi_FI,name,type,desktop,0.22,4.65,924
fi_FI,summary,type,desktop,0.32,5.69,924
fi_FI,description,type,desktop,0,0.0,924
fi_FI,package stats,type,desktop,0,0.0,924
fo,name,,,0.12,3.53,1603
fo,summary,,,0.31,5.58,1603
fo,description,,,0.06,2.5,1603
fo,package stats,,,0,0.0,1603
