lang,field,filter,filter_value,mean,pstdev,number of packages
ab,name,,,0.14,3.79,1391
ab,summary,,,0.14,3.79,1391
ab,description,,,0,0.0,1391
ab,package stats,,,0,0.0,1391
ab,name,type,desktop,0.25,5.01,795
ab,summary,type,desktop,0.25,5.01,795
ab,description,type,desktop,0,0.0,795
ab,package stats,type,desktop,0,0.0,795
ach,name,,,0,0.0,1391
ach,summary,,,0.07,2.68,1391
ach,description,,,0,0.0,1391
ach,package stats,,,0.07,2.68,1391
ach,name,type,desktop,0,0.0,795
ach,summary,type,desktop,0.13,3.54,795
ach,description,type,desktop,0,0.0,795
ach,package stats,type,desktop,0.13,3.54,795
af,name,,,6.11,23.95,1391
af,summary,,,5.97,23.69,1391
af,description,,,0.36,5.98,1391
af,package stats,,,0.22,4.64,1391
af,name,type,desktop,8.68,28.15,795
af,summary,type,desktop,10.19,30.25,795
af,description,type,desktop,0.63,7.91,795
af,package stats,type,desktop,0.38,6.13,795
ak,name,,,0,0.0,1391
ak,summary,,,0.07,2.68,1391
ak,description,,,0,0.0,1391
ak,package stats,,,0,0.0,1391
ak,name,type,desktop,0,0.0,795
ak,summary,type,desktop,0.13,3.54,795
ak,description,type,desktop,0,0.0,795
ak,package stats,type,desktop,0,0.0,795
am,name,,,1.94,13.8,1391
am,summary,,,1.22,10.99,1391
am,description,,,0.14,3.79,1391
am,package stats,,,0.22,4.64,1391
am,name,type,desktop,3.4,18.11,795
am,summary,type,desktop,2.14,14.47,795
am,description,type,desktop,0.25,5.01,795
am,package stats,type,desktop,0.38,6.13,795
an,name,,,2.73,16.3,1391
an,summary,,,3.38,18.07,1391
an,description,,,2.16,14.53,1391
an,package stats,,,1.15,10.66,1391
an,name,type,desktop,3.9,19.36,795
an,summary,type,desktop,5.03,21.86,795
an,description,type,desktop,3.77,19.06,795
an,package stats,type,desktop,0.5,7.08,795
ar,name,,,16.18,36.82,1391
ar,summary,,,16.18,36.82,1391
ar,description,,,3.74,18.97,1391
ar,package stats,,,0.65,8.02,1391
ar,name,type,desktop,21.13,40.82,795
ar,summary,type,desktop,22.52,41.77,795
ar,description,type,desktop,6.54,24.72,795
ar,package stats,type,desktop,1.13,10.58,795
ar_DZ,name,,,0,0.0,1391
ar_DZ,summary,,,0.07,2.68,1391
ar_DZ,description,,,0.07,2.68,1391
ar_DZ,package stats,,,0,0.0,1391
ar_DZ,name,type,desktop,0,0.0,795
ar_DZ,summary,type,desktop,0.13,3.54,795
ar_DZ,description,type,desktop,0.13,3.54,795
ar_DZ,package stats,type,desktop,0,0.0,795
as,name,,,6.11,23.95,1391
as,summary,,,7.62,26.53,1391
as,description,,,3.52,18.44,1391
as,package stats,,,0.5,7.08,1391
as,name,type,desktop,9.18,28.88,795
as,summary,type,desktop,12.2,32.73,795
as,description,type,desktop,6.16,24.05,795
as,package stats,type,desktop,0.88,9.34,795
ast,name,,,7.26,25.95,1391
ast,summary,,,12.65,33.24,1391
ast,description,,,3.38,18.07,1391
