project,type,url,name,summary,description,package stats
almanah,desktop,https://wiki.gnome.org/Apps/Almanah_Diary,0,0,0,0.84
almas-mongolian-title-fonts,font,http://www.mongolfont.com/en/font/mngltitleotf.html,0,0,0,0
alt-ergo-gui,desktop,http://alt-ergo.ocamlpro.com/,0,0,0,0
gnome-shell-extension-alternate-tab,shell-extension,http://git.gnome.org/gnome-shell-extensions,0,0,0,1.0
amoebax,desktop,http://www.emma-soft.com/games/amoebax/,0,0,0,0
amsynth,generic,http://amsynth.github.io/,0,0,0,0
anjuta,desktop,https://projects.gnome.org/anjuta/,0,yes,yes,0.95
anka-coder-condensed-fonts,font,https://code.google.com/p/anka-coder-fonts/,0,0,0,0.01
anki,desktop,http://ankisrs.net/,0,0,0,0
antimicro,desktop,https://github.com/AntiMicro/antimicro,0,0,0,0
antimony,desktop,http://www.mattkeeter.com/projects/antimony/3/,0,0,0,0
antlrworks,desktop,http://www.antlr3.org/works/,0,0,0,0
apa-new-athena-unicode-fonts,font,http://apagreekkeys.org/NAUdownload.html,0,0,0,0.01
apanov-edrip-fonts,font,http://code.google.com/p/edrip,0,0,0,0
apanov-heuristica-fonts,font,http://sourceforge.net/projects/heuristica/,0,0,0,0.01
gnome-shell-extension-apps-menu,shell-extension,http://git.gnome.org/gnome-shell-extensions,0,0,0,1.0
apx,desktop,https://github.com/projecthamster/apx,0,0,0,0
arc-gui-clients,desktop,http://sourceforge.net/projects/arc-gui-clients/,0,0,0,0
ardour2,desktop,http://ardour.org,0,0,0,0
ardour4,desktop,http://ardour.org,0,0,0,0
ardour5,desktop,http://ardour.org,0,0,0,0
armacycles-ad,desktop,http://armagetronad.sf.net,0,0,0,0
asc,desktop,http://www.asc-hq.org/,0,0,0,0
ascii-design,desktop,http://ascii-design.sourceforge.net/,0,0,0,0
astigmatic-grand-hotel-fonts,font,http://www.astigmatic.org,0,0,0,0.01
astromenace,desktop,http://www.viewizard.com/,0,0,0,0
atanks,desktop,http://atanks.sourceforge.net/index.html,0,0,0,0
atanua,desktop,http://sol.gfxile.net/atanua/,0,0,0,0
atomix,desktop,https://wiki.gnome.org/Apps/Atomix,0,yes,0,0.88
atril,desktop,http://www.mate-desktop.org,yes,yes,0,1.0
libreoffice-gallery-vrt-network-equipment,addon,http://www.vrt.com.au/downloads/vrt-network-equipment,0,0,0,0
audacious-plugin-fc,addon,http://xmms-fc.sourceforge.net,0,0,0,0
audacious-plugins-amidi,addon,http://audacious-media-player.org/,0,0,0,0
audacious-plugins-exotic,addon,http://audacious-media-player.org/,0,0,0,0
audacious-plugins-jack,addon,http://audacious-media-player.org/,0,0,0,0
audacious,desktop,http://audacious-media-player.org,0,yes,0,0.92
audacity,desktop,http://www.audacityteam.org/,0,0,0,1.0
gnome-shell-extension-auto-move-windows,shell-extension,http://git.gnome.org/gnome-shell-extensions,0,0,0,1.0
avogadro,desktop,http://avogadro.cc/wiki/Main_Page,0,yes,0,0
avogadro2,desktop,http://www.openchemistry.org/projects/avogadro2/,0,0,0,0
gnome-shell-extension-background-logo,shell-extension,https://git.fedorahosted.org/git/background-logo-extension.git,0,0,0,0
baekmuk-ttf-batang-fonts,font,http://kldp.net/projects/baekmuk/,0,0,0,0
ballbuster,desktop,https://admin.fedoraproject.org/pkgdb/package/rpms/ballbuster/,0,0,0,0
ballerburg,desktop,http://baller.tuxfamily.org/,0,0,0,0
ballz,desktop,https://gitlab.com/groups/ballz,0,0,0,0
balsa,desktop,http://pawsa.fedorapeople.org/balsa/,0,0,0,0.85
banshee,desktop,http://banshee.fm/,0,yes,0,0.98
barrage,desktop,http://lgames.sourceforge.net/index.php?project=Barrage,0,0,0,0
berusky,desktop,http://www.anakreon.cz/?q=node/1,0,0,0,0
berusky2,desktop,http://www.anakreon.cz/?q=node/2,0,0,0,0
beteckna-fonts-common,font,http://gnu.ethz.ch/linuks.mine.nu/beteckna/,0,0,0,0
biloba,desktop,http://biloba.sourceforge.net/,0,0,0,0
linux-libertine-biolinum-fonts,font,http://linuxlibertine.sf.net,0,0,0,0.01
bitstream-vera-fonts-common,font,http://www.gnome.org/fonts/,0,0,0,0.01
bleachbit,desktop,https://www.bleachbit.org/,0,yes,0,0.82
blender,desktop,http://www.blender.org/,0,yes,0,0
blivet-gui,desktop,https://github.com/storaged-project/blivet-gui,0,0,0,0
blobby,desktop,http://blobby.sourceforge.net/,0,0,0,0
blobwars,desktop,http://www.parallelrealities.co.uk/p/blob-wars-metal-blob-solid.html,0,0,0,0.95
bluefish-shared-data,desktop,http://bluefish.openoffice.nl/,yes,yes,yes,1.0
ibus-bogo,inputmethod,http://github.com/BoGoEngine/ibus-bogo-python,0,0,0,0
bolzplatz2006,desktop,http://www.bolzplatz2006.de/en/,0,0,0,0
boswars,desktop,http://www.boswars.org/,0,0,0,0
bpg-algeti-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-chveulebrivi-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-classic-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-courier-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-courier-s-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-dedaena-block-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-dejavu-sans-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-elite-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-excelsior-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-glaho-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-gorda-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-ingiri-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-irubaqidze-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-mikhail-stephan-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-mrgvlovani-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0.01
bpg-nateli-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0.01
bpg-nino-medium-cond-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-sans-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-serif-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-ucnobi-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpython,desktop,http://www.bpython-interpreter.org/,0,0,0,0
brasero,desktop,https://projects.gnome.org/brasero/,0,yes,yes,0.98
btanks,desktop,http://btanks.sourceforge.net/,0,0,0,0
btbuilder,desktop,http://www.identicalsoftware.com/btbuilder,0,0,0,0
bustle,desktop,http://willthompson.co.uk/bustle/,0,0,0,0
bzflag,desktop,http://bzflag.org,0,0,0,0
dconf-editor,desktop,https://wiki.gnome.org/Projects/dconf,yes,yes,yes,0.99
caja,desktop,http://www.mate-desktop.org,0,yes,yes,1.0
