lang,field,filter,filter_value,mean,pstdev,number of packages
ach,name,,,0,0.0,1107
ach,summary,,,0.09,3.0,1107
ach,description,,,0,0.0,1107
ach,package stats,,,0,0.0,1107
ach,name,type,desktop,0,0.0,703
ach,summary,type,desktop,0.14,3.77,703
ach,description,type,desktop,0,0.0,703
ach,package stats,type,desktop,0,0.0,703
af,name,,,6.05,23.85,1107
af,summary,,,6.78,25.13,1107
af,description,,,0.36,6.0,1107
af,package stats,,,0.09,3.0,1107
af,name,type,desktop,8.53,27.94,703
af,summary,type,desktop,10.67,30.87,703
af,description,type,desktop,0.57,7.52,703
af,package stats,type,desktop,0.14,3.77,703
ak,name,,,0,0.0,1107
ak,summary,,,0.09,3.0,1107
ak,description,,,0,0.0,1107
ak,package stats,,,0,0.0,1107
ak,name,type,desktop,0,0.0,703
ak,summary,type,desktop,0.14,3.77,703
ak,description,type,desktop,0,0.0,703
ak,package stats,type,desktop,0,0.0,703
am,name,,,1.99,13.96,1107
am,summary,,,1.17,10.77,1107
am,description,,,0,0.0,1107
am,package stats,,,0.18,4.25,1107
am,name,type,desktop,3.13,17.41,703
am,summary,type,desktop,1.85,13.47,703
am,description,type,desktop,0,0.0,703
am,package stats,type,desktop,0.28,5.33,703
an,name,,,3.16,17.5,1107
an,summary,,,4.07,19.75,1107
an,description,,,2.62,15.97,1107
an,package stats,,,1.63,12.65,1107
an,name,type,desktop,3.98,19.56,703
an,summary,type,desktop,5.41,22.61,703
an,description,type,desktop,4.13,19.89,703
an,package stats,type,desktop,0.85,9.2,703
ar,name,,,14.36,35.07,1107
ar,summary,,,15.72,36.4,1107
ar,description,,,3.7,18.89,1107
ar,package stats,,,1.08,10.35,1107
ar,name,type,desktop,20.77,40.56,703
ar,summary,type,desktop,23.61,42.47,703
ar,description,type,desktop,5.83,23.44,703
ar,package stats,type,desktop,1.71,12.95,703
as,name,,,6.96,25.44,1107
as,summary,,,9.49,29.3,1107
as,description,,,4.34,20.37,1107
as,package stats,,,0.81,8.98,1107
as,name,type,desktop,9.53,29.36,703
as,summary,type,desktop,13.66,34.34,703
as,description,type,desktop,6.83,25.22,703
as,package stats,type,desktop,1.28,11.24,703
ast,name,,,5.42,22.64,1107
ast,summary,,,11.92,32.41,1107
ast,description,,,2.71,16.24,1107
ast,package stats,,,0.99,9.92,1107
ast,name,type,desktop,7.82,26.85,703
ast,summary,type,desktop,18.78,39.05,703
ast,description,type,desktop,4.27,20.21,703
ast,package stats,type,desktop,1.56,12.41,703
az,name,,,2.08,14.26,1107
az,summary,,,2.26,14.86,1107
az,description,,,0,0.0,1107
az,package stats,,,0.18,4.25,1107
az,name,type,desktop,3.27,17.79,703
az,summary,type,desktop,3.56,18.52,703
az,description,type,desktop,0,0.0,703
az,package stats,type,desktop,0.28,5.33,703
be,name,,,7.32,26.04,1107
be,summary,,,9.76,29.67,1107
be,description,,,3.34,17.97,1107
be,package stats,,,2.71,16.24,1107
be,name,type,desktop,10.53,30.69,703
be,summary,type,desktop,15.36,36.06,703
be,description,type,desktop,5.26,22.33,703
be,package stats,type,desktop,1.56,12.41,703
be@latin,name,,,2.8,16.5,1107
be@latin,summary,,,3.34,17.97,1107
be@latin,description,,,0,0.0,1107
be@latin,package stats,,,0.54,7.34,1107
be@latin,name,type,desktop,3.84,19.22,703
be@latin,summary,type,desktop,5.26,22.33,703
be@latin,description,type,desktop,0,0.0,703
be@latin,package stats,type,desktop,0.85,9.2,703
bg,name,,,10.48,30.63,1107
bg,summary,,,17.43,37.94,1107
bg,description,,,3.52,18.44,1107
bg,package stats,,,2.35,15.14,1107
bg,name,type,desktop,15.08,35.78,703
bg,summary,type,desktop,26.17,43.96,703
bg,description,type,desktop,5.55,22.89,703
bg,package stats,type,desktop,3.27,17.79,703
bho,name,,,0.09,3.0,1107
bho,summary,,,0.09,3.0,1107
bho,description,,,0,0.0,1107
bho,package stats,,,0,0.0,1107
bho,name,type,desktop,0.14,3.77,703
bho,summary,type,desktop,0.14,3.77,703
bho,description,type,desktop,0,0.0,703
