lang,field,filter,filter_value,mean,pstdev,number of packages
ab,name,,,0.12,3.46,1668
ab,summary,,,0.06,2.45,1668
ab,description,,,0,0.0,1668
ab,package stats,,,0,0.0,1668
ab,name,type,desktop,0.22,4.66,920
ab,summary,type,desktop,0.11,3.3,920
ab,description,type,desktop,0,0.0,920
ab,package stats,type,desktop,0,0.0,920
ach,name,,,0,0.0,1668
ach,summary,,,0.06,2.45,1668
ach,description,,,0,0.0,1668
ach,package stats,,,0.06,2.45,1668
ach,name,type,desktop,0,0.0,920
ach,summary,type,desktop,0.11,3.3,920
ach,description,type,desktop,0,0.0,920
ach,package stats,type,desktop,0.11,3.3,920
af,name,,,6.18,24.07,1668
af,summary,,,6.53,24.71,1668
af,description,,,1.38,11.66,1668
af,package stats,,,0.54,7.33,1668
af,name,type,desktop,8.7,28.18,920
af,summary,type,desktop,10.43,30.57,920
af,description,type,desktop,2.5,15.61,920
af,package stats,type,desktop,0.98,9.84,920
af_ZA,name,,,0.06,2.45,1668
af_ZA,summary,,,0.06,2.45,1668
af_ZA,description,,,0,0.0,1668
af_ZA,package stats,,,0,0.0,1668
af_ZA,name,type,desktop,0.11,3.3,920
af_ZA,summary,type,desktop,0.11,3.3,920
af_ZA,description,type,desktop,0,0.0,920
af_ZA,package stats,type,desktop,0,0.0,920
ak,name,,,0.06,2.45,1668
ak,summary,,,0.24,4.89,1668
ak,description,,,0.06,2.45,1668
ak,package stats,,,0.06,2.45,1668
ak,name,type,desktop,0.11,3.3,920
ak,summary,type,desktop,0.43,6.58,920
ak,description,type,desktop,0.11,3.3,920
ak,package stats,type,desktop,0.11,3.3,920
am,name,,,1.86,13.51,1668
am,summary,,,1.26,11.15,1668
am,description,,,0.24,4.89,1668
am,package stats,,,0.18,4.24,1668
am,name,type,desktop,3.37,18.04,920
am,summary,type,desktop,2.28,14.93,920
am,description,type,desktop,0.43,6.58,920
am,package stats,type,desktop,0.33,5.7,920
am_ET,name,,,0.12,3.46,1668
am_ET,summary,,,0.12,3.46,1668
am_ET,description,,,0,0.0,1668
am_ET,package stats,,,0.06,2.45,1668
am_ET,name,type,desktop,0.22,4.66,920
am_ET,summary,type,desktop,0.22,4.66,920
am_ET,description,type,desktop,0,0.0,920
am_ET,package stats,type,desktop,0.11,3.3,920
an,name,,,2.22,14.73,1668
an,summary,,,2.88,16.72,1668
an,description,,,1.56,12.39,1668
an,package stats,,,0.84,9.12,1668
an,name,type,desktop,3.15,17.47,920
an,summary,type,desktop,4.35,20.39,920
an,description,type,desktop,2.83,16.57,920
an,package stats,type,desktop,0.22,4.66,920
ar,name,,,17.03,37.59,1668
ar,summary,,,16.85,37.43,1668
ar,description,,,4.86,21.49,1668
ar,package stats,,,0.84,9.12,1668
ar,name,type,desktop,20.22,40.16,920
ar,summary,type,desktop,21.74,41.25,920
ar,description,type,desktop,8.7,28.18,920
ar,package stats,type,desktop,1.52,12.24,920
ar_DZ,name,,,0,0.0,1668
ar_DZ,summary,,,0.06,2.45,1668
ar_DZ,description,,,0.06,2.45,1668
ar_DZ,package stats,,,0,0.0,1668
ar_DZ,name,type,desktop,0,0.0,920
ar_DZ,summary,type,desktop,0.11,3.3,920
ar_DZ,description,type,desktop,0.11,3.3,920
ar_DZ,package stats,type,desktop,0,0.0,920
as,name,,,5.04,21.87,1668
as,summary,,,6.53,24.71,1668
as,description,,,2.88,16.72,1668
as,package stats,,,0.36,5.99,1668
as,name,type,desktop,7.5,26.34,920
as,summary,type,desktop,10.43,30.57,920
as,description,type,desktop,5.11,22.02,920
as,package stats,type,desktop,0.65,8.05,920
ast,name,,,5.16,22.11,1668
ast,summary,,,8.69,28.17,1668
ast,description,,,1.98,13.93,1668
ast,package stats,,,1.38,11.66,1668
ast,name,type,desktop,6.63,24.88,920
ast,summary,type,desktop,13.48,34.15,920
ast,description,type,desktop,3.59,18.6,920
ast,package stats,type,desktop,2.5,15.61,920
az,name,,,1.74,13.07,1668
az,summary,,,1.62,12.62,1668
az,description,,,0.12,3.46,1668
az,package stats,,,0.3,5.47,1668
az,name,type,desktop,3.15,17.47,920
az,summary,type,desktop,2.93,16.88,920
az,description,type,desktop,0.22,4.66,920
az,package stats,type,desktop,0.54,7.35,920
be,name,,,6.65,24.92,1668
be,summary,,,8.33,27.64,1668
be,description,,,3.9,19.35,1668
be,package stats,,,2.04,14.13,1668
be,name,type,desktop,9.35,29.11,920
be,summary,type,desktop,13.26,33.92,920
be,description,type,desktop,7.07,25.62,920
be,package stats,type,desktop,2.17,14.58,920
be@latin,name,,,2.76,16.38,1668
be@latin,summary,,,2.16,14.53,1668
be@latin,description,,,0,0.0,1668
be@latin,package stats,,,0.12,3.46,1668
be@latin,name,type,desktop,2.5,15.61,920
be@latin,summary,type,desktop,2.72,16.26,920
be@latin,description,type,desktop,0,0.0,920
be@latin,package stats,type,desktop,0.22,4.66,920
bg,name,,,10.13,30.18,1668
bg,summary,,,14.87,35.58,1668
bg,description,,,5.1,21.99,1668
bg,package stats,,,3.18,17.54,1668
bg,name,type,desktop,13.48,34.15,920
bg,summary,type,desktop,22.39,41.69,920
bg,description,type,desktop,9.24,28.96,920
bg,package stats,type,desktop,4.13,19.9,920
bg_BG,name,,,0.12,3.46,1668
bg_BG,summary,,,0.12,3.46,1668
bg_BG,description,,,0,0.0,1668
bg_BG,package stats,,,0,0.0,1668
bg_BG,name,type,desktop,0.22,4.66,920
bg_BG,summary,type,desktop,0.22,4.66,920
bg_BG,description,type,desktop,0,0.0,920
bg_BG,package stats,type,desktop,0,0.0,920
bho,name,,,0.06,2.45,1668
bho,summary,,,0.06,2.45,1668
bho,description,,,0,0.0,1668
bho,package stats,,,0,0.0,1668
bho,name,type,desktop,0.11,3.3,920
bho,summary,type,desktop,0.11,3.3,920
bho,description,type,desktop,0,0.0,920
bho,package stats,type,desktop,0,0.0,920
bm,name,,,0.06,2.45,1668
bm,summary,,,0.06,2.45,1668
bm,description,,,0,0.0,1668
bm,package stats,,,0,0.0,1668
bm,name,type,desktop,0.11,3.3,920
bm,summary,type,desktop,0.11,3.3,920
